tpb,nX,time
64,2048,35.96144375
64,4096,36.69235313
64,8192,37.71212188
64,16384,52.88690625
64,32768,81.48070625
64,65536,142.67433750
64,131072,248.62880000
64,262144,459.77690000
64,524288,882.02390000
64,1048576,1726.80460000
128,2048,35.38041875
128,4096,36.39600938
128,8192,38.30013125
128,16384,53.02845625
128,32768,81.97255000
128,65536,143.16275000
128,131072,249.30502500
128,262144,461.14240000
128,524288,884.47070000
128,1048576,1730.71600000
256,2048,35.64473750
256,4096,35.58014375
256,8192,38.81187188
256,16384,54.54433750
256,32768,83.76456250
256,65536,146.99767500
256,131072,256.48762500
256,262144,477.38425000
256,524288,918.52170000
256,1048576,1800.62380000
512,2048,38.13166563
512,4096,37.20648438
512,8192,40.22350000
512,16384,59.51220000
512,32768,90.55047500
512,65536,155.92461250
512,131072,276.95970000
512,262144,513.71195000
512,524288,996.18290000
512,1048576,1957.43200000
