tpb,nX,time
64,2048,38.29371250
64,4096,41.33263437
64,8192,44.19310937
64,16384,77.32788125
64,32768,121.87197500
64,65536,208.61162500
64,131072,410.37777500
64,262144,819.26435000
64,524288,1652.80550000
64,1048576,3348.98640000
128,2048,38.66732291
128,4096,40.25424633
128,8192,43.20506876
128,16384,71.35363419
128,32768,112.90042183
128,65536,191.95443540
128,131072,380.54410443
128,262144,752.76812101
128,524288,1487.75748802
128,1048576,2964.99760383
256,2048,40.48040344
256,4096,39.23557860
256,8192,43.91482758
256,16384,71.42201806
256,32768,109.61955115
256,65536,216.43227508
256,131072,425.85892715
256,262144,832.68670382
256,524288,1649.34195860
256,1048576,3282.54458599
512,2048,41.88948156
512,4096,41.72218960
512,8192,66.18680775
512,16384,99.60710666
512,32768,166.17466871
512,65536,303.14388845
512,131072,594.39843750
512,262144,1158.30567642
512,524288,2303.54054589
512,1048576,4588.82080696
