tpb,nX,time
64,2048,45.03540273
64,4096,46.78488169
64,8192,49.76113219
64,16384,91.78377721
64,32768,146.27502246
64,65536,285.38119010
64,131072,563.84624601
64,262144,1105.49081470
64,524288,2189.55111821
64,1048576,4351.25838658
128,2048,44.78134048
128,4096,46.51636444
128,8192,48.18386207
128,16384,90.25522913
128,32768,142.17933806
128,65536,278.03916234
128,131072,544.55051917
128,262144,1069.65904553
128,524288,2116.21345847
128,1048576,4208.96325879
256,2048,45.82704892
256,4096,46.66500485
256,8192,49.99148151
256,16384,90.43322054
256,32768,141.67199940
256,65536,276.67048169
256,131072,543.50044785
256,262144,1068.78164809
256,524288,2111.12917994
256,1048576,4198.61345541
512,2048,48.44534031
512,4096,47.65685881
512,8192,84.87211358
512,16384,129.41659662
512,32768,214.63968552
512,65536,390.71195115
512,131072,764.13167524
512,262144,1488.59167326
512,524288,2957.82041139
512,1048576,5891.40862342
