tpb,dv,sweptArray,sweptAtomic,classicArray,classicAtomic
32,2048,2.40007,6.63434,10.4235,29.6741
32,4096,2.6025,7.51959,12.404,32.9315
32,8192,3.67676,12.7995,13.6601,47.2752
32,16384,5.08457,19.3627,16.5338,66.6656
32,32768,8.15502,33.3647,23.7059,110.6
32,65536,14.7692,62.9635,37.4083,210.004
32,131072,27.6137,119.673,71.1649,384.872
32,262144,53.1766,232.851,129.996,737.279
32,524288,104.275,459.421,247.739,1443.36
32,1048576,207.71,912.714,483.13,2847.12
64,2048,1.88515,5.63549,10.5808,29.8034
64,4096,2.0648,6.41555,12.2258,35.0574
64,8192,2.48611,9.1848,12.1253,44.8238
64,16384,3.5951,24.7273,15.6067,65.5351
64,32768,5.7921,46.2661,20.1162,100.891
64,65536,10.2214,86.9771,29.9518,179.258
64,131072,19.0078,171.308,52.3312,330.095
64,262144,36.4424,339.954,92.4432,629.662
64,524288,71.3321,677.602,172.641,1228.7
64,1048576,141.045,1352.59,333.048,2426.57
128,2048,1.53293,5.15251,10.1668,30.46
128,4096,1.6771,6.14865,12.2177,37.4525
128,8192,2.03253,8.64294,12.336,45.7973
128,16384,2.8478,18.0308,15.5637,64.6168
128,32768,4.58072,44.6867,20.4183,104.386
128,65536,7.99725,83.013,29.927,182.722
128,131072,14.8442,161.414,50.0962,335.065
128,262144,28.267,321.015,88.2068,637.475
128,524288,55.1163,638.64,164.32,1242.33
128,1048576,108.843,1268.33,316.867,2452.8
256,2048,1.3505,4.95406,11.3153,30.8443
256,4096,1.57635,7.46392,12.4013,40.9095
256,8192,1.92905,9.21015,13.8858,49.8651
256,16384,2.6322,16.0087,15.3831,68.2373
256,32768,4.22022,41.0684,20.4245,104.76
256,65536,7.40611,68.8514,30.3287,186.47
256,131072,13.5593,128.168,50.4761,339.494
256,262144,25.8775,254.894,88.6498,642.157
256,524288,50.4286,508.592,165.387,1247.21
256,1048576,99.5966,1017.17,318.505,2459.41
512,2048,1.52177,7.71707,12.0663,40.6267
512,4096,1.52928,7.7432,12.3056,41.3265
512,8192,2.00342,11.3485,13.6711,58.1932
512,16384,2.51893,16.2842,17.0839,78.3168
512,32768,4.5901,34.3451,21.7042,115.247
512,65536,8.04788,56.7913,30.7422,195.298
512,131072,14.6278,112.054,51.616,358.37
512,262144,26.6582,218.602,89.9169,675.46
512,524288,51.6933,419.75,167.19,1305.18
512,1048576,101.67,826.456,321.632,2562.83
1024,2048,1.97449,11.864,14.3608,62.6596
1024,4096,1.98058,11.9167,14.5522,62.908
1024,8192,1.99942,11.9681,15.0342,63.3168
1024,16384,3.04024,24.1762,18.346,99.7006
1024,32768,4.95251,36.956,23.664,138.721
1024,65536,8.64458,62.194,33.9697,227.136
1024,131072,14.7341,113.775,55.9044,395.561
1024,262144,27.0346,215.657,97.4133,738.591
1024,524288,52.0674,419.875,179.548,1418.75
1024,1048576,103.674,828.409,344.129,2786.37
