tpb,gpuA,nX,time
64,0.0000,102400,74.15544950
64,8.0000,104448,86.89560334
64,16.0000,100352,87.26999716
64,24.0000,98304,95.27882781
64,32.0000,101376,80.95241142
64,40.0000,102400,95.56236485
64,48.0000,101376,92.85805851
64,56.0000,98304,84.51282415
64,64.0000,106496,95.86216122
64,72.0000,100352,83.31753660
64,80.0000,107520,65.62432947
64,0.0000,1003520,111.72792171
64,8.0000,1001472,111.61956589
64,16.0000,1003520,158.01575463
64,24.0000,999424,183.39632487
64,32.0000,1004544,210.71471212
64,40.0000,1003520,228.14759111
64,48.0000,1002496,244.92140681
64,56.0000,1007616,257.12029409
64,64.0000,998400,269.10509218
64,72.0000,1003520,277.36023267
64,80.0000,998400,285.05834792
64,0.0000,9999360,11122.61567555
64,8.0000,10002432,7334.49127572
64,16.0000,9999360,2226.65896076
64,24.0000,10002432,1488.61602893
64,32.0000,9999360,1605.62006880
64,40.0000,10004480,1800.88669698
64,48.0000,10002432,1957.37047426
64,56.0000,10002432,2092.29343278
64,64.0000,9997312,2201.39282571
64,72.0000,10006528,2316.29918500
64,80.0000,9999360,2382.16903757
128,0.0000,102400,87.63441366
128,8.0000,98304,96.75810536
128,16.0000,100352,99.75317246
128,24.0000,98304,64.71201871
128,32.0000,110592,91.76401036
128,40.0000,102400,95.44237477
128,48.0000,112640,88.50217813
128,56.0000,98304,91.89655254
128,64.0000,106496,93.69081297
128,72.0000,114688,99.18253420
128,80.0000,122880,96.14720022
128,0.0000,1003520,108.33968628
128,8.0000,1007616,108.61161291
128,16.0000,1003520,160.02900350
128,24.0000,999424,186.00790294
128,32.0000,1013760,213.53491985
128,40.0000,1003520,229.12849147
128,48.0000,1013760,249.49772991
128,56.0000,1007616,261.00814643
128,64.0000,1011712,273.85596472
128,72.0000,1003520,279.69791725
128,80.0000,1013760,290.67626971
128,0.0000,10004480,11018.59232991
128,8.0000,10002432,6725.24754128
128,16.0000,10006528,2773.07230105
128,24.0000,10010624,1409.48097954
128,32.0000,10008576,1650.88650799
128,40.0000,10014720,1850.21379758
128,48.0000,10002432,2006.07964864
128,56.0000,10002432,2141.89660829
128,64.0000,10010624,2259.76061674
128,72.0000,10006528,2357.86201250
128,80.0000,10014720,2447.64661582
192,0.0000,107520,92.07243705
192,8.0000,110592,92.86100284
