tpb,gpuA,nX,time
64,0.0000,102400,12.40106294
64,8.0000,104448,8.81379881
64,16.0000,100352,7.51946871
64,24.0000,98304,8.68280665
64,32.0000,101376,9.78324312
64,40.0000,102400,11.17191947
64,48.0000,101376,11.68815187
64,56.0000,98304,11.63058245
64,64.0000,106496,13.06913960
64,72.0000,100352,12.95411977
64,80.0000,107520,13.89157182
64,0.0000,1003520,64.28245491
64,8.0000,1001472,53.71450854
64,16.0000,1003520,47.59848642
64,24.0000,999424,61.11142354
64,32.0000,1004544,72.19943471
64,40.0000,1003520,81.25109271
64,48.0000,1002496,87.73158629
64,56.0000,1007616,94.39052484
64,64.0000,998400,98.18979726
64,72.0000,1003520,103.02235572
64,80.0000,998400,106.24150641
64,0.0000,9999360,625.03889441
64,8.0000,10002432,664.32073570
64,16.0000,9999360,447.05919898
64,24.0000,10002432,584.32453023
64,32.0000,9999360,691.26581993
64,40.0000,10004480,777.55281481
64,48.0000,10002432,847.75788620
64,56.0000,10002432,906.63357617
64,64.0000,9997312,955.50479076
64,72.0000,10006528,998.90420850
64,80.0000,9999360,1034.96969603
128,0.0000,102400,8.19318687
128,8.0000,98304,5.90750109
128,16.0000,100352,5.35812193
128,24.0000,98304,6.22629310
128,32.0000,110592,7.48492944
128,40.0000,102400,8.11157564
128,48.0000,112640,9.29227843
128,56.0000,98304,8.47693973
128,64.0000,106496,9.38773155
128,72.0000,114688,10.25834261
128,80.0000,122880,11.09843723
128,0.0000,1003520,57.90964959
128,8.0000,1007616,46.95841489
128,16.0000,1003520,40.88592986
128,24.0000,999424,43.20622633
128,32.0000,1013760,51.29681894
128,40.0000,1003520,56.81005815
128,48.0000,1013760,62.38049783
128,56.0000,1007616,66.19694467
128,64.0000,1011712,69.96130886
128,72.0000,1003520,72.47962891
128,80.0000,1013760,75.77940298
128,0.0000,10004480,562.61087235
128,8.0000,10002432,468.11811031
128,16.0000,10006528,399.26347451
128,24.0000,10010624,410.88209556
128,32.0000,10008576,486.43344650
128,40.0000,10014720,546.98521956
128,48.0000,10002432,595.75819598
128,56.0000,10002432,636.95402715
128,64.0000,10010624,672.42540824
128,72.0000,10006528,702.25015378
128,80.0000,10014720,728.52894664
192,0.0000,107520,7.78747280
192,8.0000,110592,6.04401317
192,16.0000,107520,5.67260114
192,24.0000,98304,6.33162697
192,32.0000,110592,7.13615897
192,40.0000,122880,8.65783608
192,48.0000,101376,7.79675335
192,56.0000,110592,8.91208268
192,64.0000,119808,9.84584125
192,72.0000,129024,10.74472350
192,80.0000,92160,8.59105416
192,0.0000,998400,55.66487995
192,8.0000,1013760,44.92928252
192,16.0000,1010688,38.60621123
192,24.0000,1007616,42.50104680
192,32.0000,995328,49.41258324
192,40.0000,1013760,56.30522586
192,48.0000,1013760,61.21077368
192,56.0000,995328,64.29719155
192,64.0000,998400,67.88915567
192,72.0000,1032192,73.10112793
192,80.0000,1013760,74.45618296
192,0.0000,9999360,530.18963698
192,8.0000,10008576,441.82326758
192,16.0000,9999360,376.73215547
192,24.0000,10002432,403.89239741
192,32.0000,10008576,478.45489671
192,40.0000,10014720,538.31225520
192,48.0000,10002432,586.32830018
192,56.0000,10027008,628.67289667
192,64.0000,10023936,662.63427099
192,72.0000,10020864,692.14059025
192,80.0000,9999360,715.95698310
256,0.0000,102400,7.60285480
256,8.0000,98304,5.21306921
256,16.0000,114688,6.81454067
256,24.0000,98304,5.83633164
256,32.0000,110592,7.27437674
256,40.0000,122880,7.94342227
256,48.0000,90112,6.99451727
256,56.0000,98304,7.78528725
256,64.0000,106496,9.17122575
256,72.0000,114688,9.91800408
256,80.0000,122880,10.50716942
256,0.0000,1003520,52.64799733
256,8.0000,1007616,43.21107771
256,16.0000,1003520,37.04274441
256,24.0000,1015808,42.62365638
256,32.0000,995328,49.15664103
256,40.0000,1024000,56.49282911
256,48.0000,991232,59.54622653
256,56.0000,1032192,66.00541721
256,64.0000,1011712,68.18735770
256,72.0000,1032192,72.50811311
256,80.0000,1044480,75.98730884
256,0.0000,10014720,515.71581821
256,8.0000,10002432,425.52791631
256,16.0000,10006528,363.52806410
256,24.0000,9994240,402.17888820
256,32.0000,10027008,473.80548374
256,40.0000,9994240,531.27362707
256,48.0000,10002432,579.51213828
256,56.0000,10027008,621.31613588
256,64.0000,10010624,654.11847963
256,72.0000,10035200,685.06533221
256,80.0000,10014720,708.68490655
320,0.0000,102400,10.24276255
320,8.0000,122880,6.08773932
320,16.0000,107520,5.89310177
320,24.0000,122880,6.43879175
320,32.0000,92160,6.13358995
320,40.0000,102400,6.96126667
320,48.0000,112640,9.21423946
