tpb,gpuA,nX,time
64,20.0000,499200,2702.36179648
64,20.0000,752640,3486.02045342
64,20.0000,998400,5129.43396055
64,20.0000,2503680,9290.56078314
64,20.0000,4999680,21443.34438550
64,20.0000,7503360,29186.07892981
64,20.0000,9999360,37616.82068684
64,24.0000,499712,2247.72534997
64,24.0000,753664,3100.62946551
64,24.0000,999424,4421.95342356
64,24.0000,2498560,9698.40194362
64,24.0000,5005312,19278.44521059
64,24.0000,7503872,28040.80453289
64,24.0000,10002432,33745.09863644
64,28.0000,504832,2245.38420539
64,28.0000,748544,3015.49052337
64,28.0000,1000960,4284.74923054
64,28.0000,2498048,9523.48956074
64,28.0000,5004800,19119.79581255
64,28.0000,7502848,26868.49675805
64,28.0000,10000896,36275.19523243
64,32.0000,506880,2274.31923270
64,32.0000,755712,3340.28484099
64,32.0000,1004544,3681.31471583
64,32.0000,2506752,9230.85657961
64,32.0000,5004288,18618.96440090
64,32.0000,7501824,24758.80525739
64,32.0000,9999360,34029.32771886
64,36.0000,505856,1825.33341337
64,36.0000,749056,3073.66263819
64,36.0000,1001984,3722.18100198
64,36.0000,2500096,9024.71813073
64,36.0000,5000192,14735.39539305
64,36.0000,7500288,23753.14393604
64,36.0000,10000384,32818.54407721
64,40.0000,501760,1768.31925533
64,40.0000,747520,2875.13523938
64,40.0000,1003520,3613.70215140
64,40.0000,2498560,8359.67455727
64,40.0000,5007360,15491.48037139
64,40.0000,7505920,23044.04528730
64,40.0000,10004480,30341.56845860
64,44.0000,505344,1834.27215097
64,44.0000,752640,2689.91113421
64,44.0000,999936,3385.99453884
64,44.0000,2505216,8110.30433710
64,44.0000,4999680,16345.21764588
64,44.0000,7504896,22402.29211006
64,44.0000,9999360,29692.55431952
64,48.0000,506880,1810.49530012
64,48.0000,754688,2560.52963525
64,48.0000,1002496,3527.02916143
64,48.0000,2500608,7549.45745981
64,48.0000,5001216,15121.65587262
64,48.0000,7501824,20826.56852278
64,48.0000,10002432,27386.18773531
64,52.0000,506368,1824.90561350
64,52.0000,753664,2495.79756621
64,52.0000,1000960,3076.91506893
64,52.0000,2508288,7286.93746951
64,52.0000,5004800,14129.10905730
64,52.0000,7501312,20488.80277402
64,52.0000,9997824,29310.80728888
64,56.0000,503808,1736.82348424
64,56.0000,749568,2505.47186312
64,56.0000,1007616,3242.19572117
64,56.0000,2506752,7174.06847562
64,56.0000,5001216,14809.19021772
64,56.0000,7507968,20986.17830362
64,56.0000,10002432,28352.09263986
64,60.0000,499200,1629.94671628
64,60.0000,755200,2487.17525566
64,60.0000,998400,3320.13568080
64,60.0000,2508800,7026.60331926
64,60.0000,5004800,13648.24704203
64,60.0000,7500800,21716.10182975
64,60.0000,10009600,28025.78339064
96,20.0000,506880,2544.01712427
96,20.0000,748800,3410.02276492
96,20.0000,1002240,4557.59501173
96,20.0000,2499840,10883.25844871
96,20.0000,4999680,18828.13817688
96,20.0000,7499520,29193.75399748
96,20.0000,9999360,38682.71824386
96,24.0000,503808,2260.77532011
96,24.0000,749568,3234.34919119
96,24.0000,1007616,4467.97990137
96,24.0000,2506752,9929.44694701
96,24.0000,5001216,19228.58902623
96,24.0000,7507968,28743.02556590
96,24.0000,10002432,34247.42930229
96,28.0000,509184,2198.43554355
96,28.0000,757248,3105.31696157
96,28.0000,1005312,4139.76562402
96,28.0000,2506752,9408.31449060
96,28.0000,5000448,17168.53276132
96,28.0000,7507200,25491.01737520
96,28.0000,10000896,32066.13914125
96,32.0000,497664,1910.92041750
96,32.0000,760320,2928.72992300
96,32.0000,1009152,4068.28747382
96,32.0000,2502144,9468.20533228
96,32.0000,5004288,17230.99724641
96,32.0000,7506432,24826.84997339
96,32.0000,10008576,35730.01116987
96,36.0000,510720,1990.10069408
96,36.0000,758784,2730.59497750
96,36.0000,1006848,3366.30110230
96,36.0000,2509824,8241.53423309
96,36.0000,5005056,16206.85368303
96,36.0000,7500288,24738.73065578
96,36.0000,10010112,32164.41218106
96,40.0000,506880,2006.26537913
96,40.0000,752640,2429.17730458
96,40.0000,998400,3532.22866617
96,40.0000,2503680,7600.75396725
